item_id,category,category_name,item_name,metric_hint,priority,priority_reason,duplicate_of
A.1.1.1,A,可用性,通常時のサービス継続性（連続稼働時間）,24時間365日／週次停止あり 等,高,サービス提供の枠組みが運用体制・監視体制・保守窓の設計全体を規定するため,
A.1.1.2,A,可用性,業務継続性（システム継続稼働要件）,単一構成／冗長構成／マルチサイト 等,高,冗長化方式の決定がインフラ構成・コストの根幹を左右するため,
A.1.1.3,A,可用性,障害時のサービス継続性（縮退継続）,縮退不可／主要機能のみ継続 等,中,障害対応手順の設計に影響するが構成の根幹は変えないため,
A.1.2.1,A,可用性,サービス稼働時間,24h365d／平日9-17時 等,高,オンコール体制・計画停止可否・監視時間帯など後続設計の前提となるため,
A.1.2.2,A,可用性,サービス切替え時間（フェイルオーバー時間）,60秒以内／10分以内 等,中,クラスタ製品選定に影響するが稼働率・RTOから導出可能なため,
A.1.2.3,A,可用性,業務継続レベル（縮退時の業務継続率）,50%継続／主要業務のみ 等,中,縮退設計の詳細であり後続影響は限定的なため,
A.1.3.1,A,可用性,目標復旧時点（RPO）,5分以内〜24時間超（L0-L5）,高,バックアップ方式・取得間隔・レプリケーション要否を直接決定するため,
A.1.3.2,A,可用性,目標復旧時間（RTO）,15分以内〜72時間超（L0-L5）,高,DR構成・復旧手順・体制の水準を直接決定するため,
A.1.3.3,A,可用性,目標復旧レベル（RLO）,全機能継続／主要機能継続／業務再開可能 等,高,復旧優先順位と縮退設計の基準となり障害対応設計全体に波及するため,
A.2.1.1,A,可用性,稼働率,L0（95%未満）〜L5（99.999%）,高,インフラ冗長化・監視・保守契約などあらゆる後続設計のレベルを規定するため,
A.2.2.1,A,可用性,計画停止の可否,計画停止あり／なし,中,パッチ適用・リリース方式の設計に影響するが代替手段があるため,
A.2.2.2,A,可用性,計画停止の許容時間,月次4時間以内 等,中,保守作業計画の制約条件だが構成の根幹には影響しないため,
A.2.3.1,A,可用性,縮退稼働の可否,可／不可,中,障害時運用手順の設計に影響するため,
A.2.3.2,A,可用性,縮退稼働のレベル,片系継続／読み取り専用継続 等,中,縮退時の詳細設計であり影響範囲が障害時運用に限られるため,
A.2.5.3,A,可用性,機器更改計画,5年更改／リース期間連動 等,低,中長期計画であり初期の運用設計への影響が小さいため,
A.2.6.1,A,可用性,ヘルプデスク要件,専用窓口あり／営業時間内のみ 等,低,体制の付加要素であり他設計項目への波及が小さいため,
A.2.6.2,A,可用性,ドキュメント整備要件,運用手順書一式／最小限 等,低,成果物の範囲定義であり設計内容自体を変えないため,
A.3.3.1,A,可用性,BCP方針（事業継続計画）,DRサイトあり／バックアップ遠隔保管のみ 等,高,DRサイト要否がインフラ構成・コスト・訓練計画を大きく左右するため,
A.4.1.1,A,可用性,計画停止要件,定期メンテナンス窓あり／無停止 等,中,パッチ適用窓・リリース計画に影響するため,
B.1.1.1,B,性能・拡張性,通常時の業務量（リクエスト数）,100req/s 等,高,キャパシティ設計・リソースサイジングの基礎数値となるため,
B.1.1.2,B,性能・拡張性,ピーク時の業務量,通常時の5倍 等,高,スケーリング設計と機器サイジングの上限を決定するため,
B.1.2.1,B,性能・拡張性,通常時応答時間,3秒以内／P95で500ms 等,高,アーキテクチャ選定と性能監視のSLI設定を直接規定するため,
B.1.2.2,B,性能・拡張性,ピーク時応答時間,5秒以内 等,中,通常時要件から導出調整が可能なため,
B.1.2.3,B,性能・拡張性,同時接続数（通常時/ピーク時）,1000セッション 等,高,セッション管理・ライセンス・LB設計を決定するため,
B.2.1.1,B,性能・拡張性,スループット目標,10MB/s／1000件/分 等,中,個別処理の性能設計に影響するが全体構成は変えないため,
B.2.2.1,B,性能・拡張性,データ容量（現在/将来）,初期1TB・年20%増 等,高,ストレージ設計・バックアップ設計・コスト試算の基礎となるため,
B.3.1.1,B,性能・拡張性,スケールアップ/スケールアウト方式,オートスケール／手動増設 等,高,アーキテクチャ選定（ステートレス化等）の根幹に関わるため,
B.3.2.1,B,性能・拡張性,ピーク時対応方針,事前増強／自動追随 等,中,運用手順とコスト計画に影響するが方式はB.3.1.1に従属するため,
B.4.1.1,B,性能・拡張性,リソース共有方式,専有／他システムと共有,中,性能保証の設計条件だが構成への影響は限定的なため,
